ClubTime                      PlayerTime                    EquipmentTime                 PlayerClubTime                PlayerEquipmentTime           PlayerEquipmentColumnTime     PlayerEquipmentWhereTime      ProcedureTime                 
0.1747958                     1.2736108                     0.1594379                     0.2027625                     0.9202491                     0.9071763                     0.0183455                     0.0717728                     
0.1360787                     1.2492431                     0.1370732                     0.2126693                     0.9512114                     0.9419658                     0.0182998                     0.0750822                     
0.1304202                     1.2457727                     0.1247513                     0.2160587                     0.9821253                     0.8951858                     0.0161028                     0.0722673                     
0.1341328                     1.2393258                     0.1227021                     0.2022349                     0.935896                      0.9247258                     0.0189995                     0.0709957                     
0.1720212                     1.2382338                     0.158652                      0.2074613                     0.9199671                     0.9086148                     0.0144188                     0.0719935                     
0.1743471                     1.2777845                     0.1605137                     0.2113618                     0.9857523                     0.9542422                     0.0154147                     0.0712191                     
0.1781583                     1.3268893                     0.160552                      0.2111751                     0.9837267                     0.9147183                     0.0150582                     0.0742908                     
0.1343104                     1.2177372                     0.1311595                     0.2051836                     0.9301233                     0.9030637                     0.0193726                     0.0727207                     
0.1741435                     1.2544772                     0.1582008                     0.2085594                     0.9744753                     0.9820795                     0.0187837                     0.0728617                     
0.1840463                     1.2931917                     0.1263946                     0.2064083                     1.0211919                     0.9279471                     0.014511                      0.0742843                     
